Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CN1,JL127-50002G01,CONN-TH_2P-P5.08_JL127-50002G01,196.626667,-55.0,180.0,top
CN2,JL127-50002G01,CONN-TH_2P-P5.08_JL127-50002G01,210.0,-55.0,180.0,top
DC1,DC050-T,DC-IN_DC050-T,105.3,-58.0,90.0,top
R1,2.2kΩ,R_0402,178.5,-75.5,90.0,top
R10,10kΩ,R_0402,188.0,-85.0,-90.0,top
R11,10kΩ,R_0402,146.0,-85.0,-90.0,top
R12,10kΩ,R_0402,153.0,-85.0,-90.0,top
R13,10kΩ,R_0402,160.0,-85.0,-90.0,top
R14,10kΩ,R_0402,167.0,-85.0,-90.0,top
R2,2.2kΩ,R_0402,185.5,-75.5,90.0,top
R3,2.2kΩ,R_0402,192.5,-75.5,90.0,top
R4,2.2kΩ,R_0402,150.5,-75.5,90.0,top
R5,2.2kΩ,R_0402,157.5,-75.5,90.0,top
R6,2.2kΩ,R_0402,164.5,-75.5,90.0,top
R7,2.2kΩ,R_0402,171.5,-75.5,90.0,top
R8,10kΩ,R_0402,174.0,-85.0,-90.0,top
R9,10kΩ,R_0402,181.0,-85.0,-90.0,top
RJ1,R-RJ45R08P-A004,RJ45-TH_R-RJ45R08P-A004,180.398333,-57.261,180.0,top
RJ2,R-RJ45R08P-A004,RJ45-TH_R-RJ45R08P-A004,161.28,-57.261,180.0,top
RJ3,R-RJ45R08P-A004,RJ45-TH_R-RJ45R08P-A004,142.161667,-57.261,180.0,top
RJ4,R-RJ45R08P-A004,RJ45-TH_R-RJ45R08P-A004,123.043333,-57.261,180.0,top
U1,PC817X3CSP9F,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,175.0,-78.0,-90.0,top
U2,PC817X3CSP9F,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,182.0,-78.0,-90.0,top
U3,PC817X3CSP9F,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,189.0,-78.0,-90.0,top
U4,PC817X3CSP9F,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,147.0,-78.0,-90.0,top
U5,PC817X3CSP9F,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,154.0,-78.0,-90.0,top
U6,PC817X3CSP9F,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,161.0,-78.0,-90.0,top
U7,PC817X3CSP9F,OPTO-SMD-4_L4.6-W6.5-P2.54-LS10.3-TL,168.0,-78.0,-90.0,top
U8,~,rp2040-zero,207.4325,-80.5,-90.0,top
U9,ULN2803A_C845537,SOP-18_L11.4-W7.6-P1.27-LS10.6-BL,134.0,-78.0,0.0,top
